时间,关键词,表情,内容
20161201,减肥,[眼泪],毕业晚会服装(最小码)☞我只想说:我要减肥[眼泪][眼泪] 佛山·南海区 ​
20161201,减肥,"[眼泪],[嘻嘻],[惊恐]",减肥好去处[嘻嘻]又累[惊恐]又疼[眼泪][眼泪][眼泪] ​
20161201,减肥,"[张嘴],[花痴]",替昨天打卡第五天，真的体重每天都在增长，克制不住零食的诱惑，今晚臭粑粑又给我买了干果，不过好喜欢[花痴]。以后要有节制了，好好写论文，好好健身减肥，加油[张嘴] 青岛·石油大学 ​
20161201,减肥,"[摊手],[二哈]",#致十二月#天天要减肥[摊手][摊手]天天都在吃[二哈][二哈] 乌鲁木齐·天山区 ​
20161201,减肥,"[抱抱],[二哈]",#励志减肥#   俩天没有吃晚饭    不过好像没瘦[二哈][二哈]   可以的    这都不是命[抱抱] ​
20161201,减肥,[泪],别说矮不矮 首要任务就是减肥 现在跟个猪一样 特别是屁股 生没生区别太大了 毁三观[泪][泪][泪] ​
20161201,减肥,"[茄子],[爱心]",老妈说：“我大孙做这茄子[茄子]还真像！”谢谢，这是汉堡、甜甜圈、和冰淇淋。#女人说早睡，就像说减肥一样难。强行闭（guan）眼（ji），晚安，我最爱的大北京。[爱心] ​
20161201,减肥,[泪],啊！我保证半个月不吃火锅了，它轻易摧毁了我减肥的意志。[泪][泪][泪] ​
20161201,减肥,"[月],[可怜]",12[月]️开始。减肥[月]️开始。最近比较肥。最近太肥[可怜][可怜][可怜] ​
20161201,减肥,[泪],王悦啊！你要答应自己啊！明天一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定一定要少吃一点啊！！！都胖成猪了啊你！掉到肉堆里都要找不到你了啊！你怎么又堕落成这样了？你为啥又不想减肥了！王悦啊！[泪] ​ 全文
20161201,减肥,[泪],L＋day7＋ jxy，今晚跳了定制一，又没出汗[泪]，估计冲刺还是不够用力，明晚继续努力！不过我的右脚背偏外侧，用力时会有轻微的疼，师傅，是我前期没活动开还是着力点不太对？@减肥明星赵奕然 ​
20161201,减肥,[音乐],我该有的都有，可一胖毁所有！综艺节目《拜拜啦肉肉》的主题曲的歌词～～～～说出了所有微胖人士的心里话呀。里面有我最喜欢的主持人，还有我最爱的贾玲以及大王。歌曲演唱者嗓音好像旮旯乐队#拜拜啦肉肉##一胖毁所有（《拜拜啦肉肉》主题曲）[音乐]##减肥等于整容#@吴宗宪 @马东 @孔连顺 ​
20161201,减肥,"[发呆],[委屈],[流泪],[奋斗],[鼓掌]",我说我要减肥[奋斗]，过年之前瘦10斤[鼓掌]，你们这可到好[委屈]，就是撸串啊[发呆]，我都多久没撸串了[流泪] 辽阳·名门酒店 ​
20161201,减肥,"[可爱],[委屈]",最好的友谊就是各忙各的，又相互牵挂[可爱]，明天又得减肥[委屈] ​
20161201,减肥,[闭眼],身体在恢复阶段，无法减肥，但是现在真的很胖了[闭眼]！！ 定西·安定区 ​
20161201,减肥,[泪],听说该减肥了......[泪][泪] ​
20161201,减肥,[嘘],【减肥[嘘]食谱三】早餐：酱豆腐、蒸蛋羹、半个馒头 。中餐：凉拌西兰花、清蒸鱼、青椒冬笋丁，米饭半碗。晚餐：凉拌青笋，麻婆豆腐，酸辣藕片，小米粥一碗。 ​
20161201,减肥,[钱],【减肥食谱三】早餐：酱豆腐、蒸蛋羹、半个馒头 。中餐：凉拌西兰花、清蒸鱼、青椒冬笋丁，米饭半碗。晚餐：凉[钱]拌青笋，麻婆豆腐，酸辣藕片，小米粥一碗。 ​
20161201,减肥,"[音乐],[心]",#唯爱王源# @TFBOYS-王源 事不能拖，我的减肥计划得提上日程了。晚安[心]#长大以后的世界[音乐]# ​
20161201,减肥,[二哈],看了一堆减肥如整容的帖子，我在想，我万一减肥成功，我这张大饼脸能“嗖”地一下成瓜子脸吗？[二哈] ​
20161201,减肥,[兔子],吼吼吼～吃过之后就要继续减肥啦[兔子][兔子] ​
20161201,减肥,"[摊手],[思考]",为什么现在有那么多人励志要减肥 [思考][思考]？  我要是不减，岂不是跟不上潮流了？！[摊手][摊手]              #致十二月# ​
20161201,减肥,[兔子],有种深夜开吃就停不下来的开关吧，减肥大计功败垂成。感受到生活里这么多人的爱护温柔，心里是很柔软的呢。[兔子] ​
20161201,减肥,[挖鼻],胡二狗，你让你老妈减肥啊[挖鼻] ​
20161201,减肥,"[嘘],[摊手],[污]",就是这么没大志看到肥美的青口螺和生蚝我会放弃减肥的想法愿意买大一码也不愿失去美食[污][污][污][污][摊手][摊手][摊手][摊手][摊手][嘘] ​
20161201,减肥,[微笑],虽说冬天减肥比夏天快很多 但是冬天却又比夏天容易肚子饿 而且比夏天吃多好多东西 我也不知道该说些什么了[微笑] ​
20161201,减肥,[摊手],#多肉的减肥之旅##30天跑步挑战#Day7 悦跑圈提示我距离上次跑步49天[摊手]跑步3.42kmkeep一字马竖叉×2天鹅臂DAY1晚上吃了玉米红薯紫薯，好满足现在肚子空空的一身轻最近的目标就是不多吃，健康吃 ​
20161201,减肥,"[挤眼],[太开心]",今天还有一件事好开心！第一次参加羽毛球赛，哈哈，虽说我是打酱油的，但是一直就觉得我们肯定是赢的一方，哈哈，果然，意料之中的胜利！[太开心][太开心]参赛不为别的，只是想走出去，看看“外面”的人和生活～当然还有减肥，也是重中之重的！[挤眼][挤眼] ​
20161201,减肥,[加油],没有理由不减肥了[加油]…#致十二月# ​
20161201,减肥,[淚],好想吃[淚][淚][淚][淚]減肥真痛苦 香港特区·軒尼詩大廈 ​
20161201,减肥,"[微笑],[得意]",一粒好瘦，❣可以24小时循环燃烧所摄入食物的热量[微笑]你还在节食减肥吗❓想吃就吃[得意] 临海市 ​
20161201,减肥,"[卡门],[害羞]",[卡门]我自己减肥瘦啦~有想瘦的可以加我191327958[害羞]图片是我 大连·金州区 ​
20161201,减肥,"[污],[二哈]",权衡利弊左思右想再做的事说明没那么重要 犹豫不决不想付出的人说明没那么喜欢 哪有不劳而获的好事 就像想要减肥首先你得管住嘴[二哈][二哈][二哈]那么还是吃比较简单[污][污][污] 青岛 ​
20161201,减肥,[亲亲],@婷婷LV666 新铭洋最舍不得的就是你了，以后就算不一起上班了，也要常常碰面啊，[亲亲][亲亲]最后一张图只是想炫耀一下我最近在努力减肥呢。 西安·西安科技大学高新学院 ​
20161201,减肥,"[微笑],[嘻嘻]",#减肥# 晚饭吃了好好吃的沙拉客套餐，最喜欢暖暖糯糯的南瓜泥，三明治也超级给力～晚上去舞蹈房折腾了三个小时，哈哈哈……回家后，儿子说妈妈，穿和安安一样的衣服，然后就有了一家三口的合照～[嘻嘻]周一到周五，感觉陪儿子的时间好少，可是我不想只有家庭生活，还是希望自己能活得更精彩[微笑]  ​ 全文
20161201,减肥,[委屈],#王俊凯触电张艺谋长城##王俊凯# 大半夜的，我好饿...可是想到俊凯让我们减肥[委屈] 我！算了不吃了，睡觉去！ ​
20161201,减肥,[害羞],我们曾经是天使，真的！ 上帝慈祥的对我们说：去吧~ 孩子们！吃完这顿再减吧[害羞][害羞][害羞]你们是为减肥而生的女人！从此我以一种任由宰割的方式 享受着 减肥带来不泯的爱...吃空气[笑cry] ​
20161201,减肥,[拜拜],十二月第一天，没减肥没早睡[拜拜][拜拜] ​
20161201,减肥,"[黑线],[泪],[可怜],[挖鼻],[二哈],[委屈]",备孕不能减肥、要抗到喂完奶，我滴天、我佩服我的母爱真伟大，要看着我这越来越大的大饼脸近两年、想想真是生无可恋了，我去[挖鼻][黑线][泪][可怜][委屈][二哈] ​
20161201,减肥,[害羞],减了一两，我可以吃回来一斤！这种节奏，还幻想着减肥？[害羞] ​
20161201,减肥,[跑],#党党要减肥#跑步[跑]听书，曾国藩近代历史上的半个圣人，倍受推崇。小时候的曾国藩可是个实实在在的笨蛋，智商不咋地，情商也不咋地。年轻时候气量不大，格局也没有打开，但是就是这么一个人，后来办成了中国历史上除了他谁也办不成的大事。清扫太平天国，开创洋务运动，成功的为清政府续命60年。更厉 ​ 全文
20161201,减肥,[伤心],饿醒两次了[笑cry][笑cry]减肥的道路注定崎岖啊[伤心][伤心][伤心] ​
20161201,减肥,"[摊手],[二哈],[困]",十二月第一天对我一点都不友好 都年底了没想到还要大哭一场[摊手]狗蹲在操场上也是没谁了[二哈] 还好有一群可爱的同学们 可爱的带风的书终于在路上 可爱的老妈毫不留情的催我减肥 可爱的剁手货来到了我的身边 只是十一月欠的账还是要还的[困] 生活还是要继续 而且要越来越好 好到和大表姐一样美 ..💕 ​ 全文
20161201,减肥,[泪],唔 我是不是该减肥了[泪][泪][泪] 上海·华东师范大学 ​
20161201,减肥,[大哭],#今日贴纸打卡#每次去办公室师兄都可以用他惊人的说服力说服我们一群减肥的女纸乖乖去吃晚饭[大哭]让我如何好好减肥 ​
20161201,减肥,"[中国],[鼓掌]",再立Flag[中国] 不饿不吃要减肥[鼓掌][鼓掌][鼓掌] ​
20161201,减肥,"[爱你],[大哭]",终于在十二点之前把卡，以后晚上要抓紧时间，减肥好难，管住嘴，[大哭][大哭][大哭]@Daisy只刷萧敬腾 @若安若忆 谢谢两位亲爱的帮我晾衣服，让我在十二点前完成打卡[爱你][爱你][爱你] 新乡·大学城 ​
20161201,减肥,"[摊手],[二哈]",减肥很难么，增肌才叫难[二哈]，我有很用力的在扯自己了[摊手] 苏州·苏州大学独墅湖校区南区 ​
20161201,减肥,"[强],[惊恐]",厉害了[惊恐][惊恐][惊恐]玖瘦不到一个月的效果[强][强]减肥才是最好的整容啊[强][强][强] ​
20161201,减肥,"[汗],[泪],[二哈]",四天了一次都不转我的[泪][泪][泪][汗][汗][汗][二哈][二哈][二哈]@减肥明星赵奕然@减肥明星赵奕然 ​
20161201,减肥,[白眼],减肥不过是说出来 吓唬吓唬这一身肉罢了[白眼] ​
20161201,减肥,[喵喵],今天罪恶了 减肥再一次失败[喵喵][喵喵] ​
20161201,减肥,"[偷乐],[色]",老虎老鼠傻傻分不清楚[笑cry]世界上的另一个我长得真美呀。[偷乐]我要减肥变更美[色] ​
20161201,减肥,[眼泪],[眼泪]这样真的好吗长这么胖还不减肥 好想把燃脂素介绍给你 ​
20161201,减肥,[失望],减肥第一天 吃素还是不行 太饿了[失望]#第一天90 ​
20161201,减肥,[二哈],我明天一定得吃顿好的来弥补现在的饥饿难耐，减肥 好苦[二哈] 澳大利亚·珀斯 ​
20161201,减肥,[祈祷],亲爱的们，冬天来了大家该减肥了，包括我自己，我要瘦瘦美美哒过年，想减肥的可以扫我二维码！我自己就是真实的例子🙈🙈🙈，希望帮转发，谢谢[祈祷][祈祷][祈祷][祈祷][祈祷]年底买还有活动，要的私我！！！ 廊坊·大厂回族自治县 ​
20161201,减肥,[摊手],#贞子减肥日记#减肥第一天[摊手]除了中午的双皮奶其他的都忘记拍照了  早上加了烤肠的煎饼果子和豆浆  中午一份儿芦荟味的双皮奶和伊利红枣酸奶  下午俩核桃俩桔子  饿了多喝水  不过感觉不错  其实我一直觉得早饭随便吃  中午要少吃  晚上尽量别吃主食  水果蔬菜什么的就够了  另外今天有体育课  各种 ​ 全文
20161201,减肥,[摊手],“折被子干嘛呢，反正晚上要睡的。”我妈的反驳强劲又有力：睡觉干嘛呢？反正要起的！吃饭干嘛呢？反正要拉的！减肥干嘛呢？反正又会胖起来的！[摊手][摊手][摊手]KO！完败～ ​
20161201,减肥,[微笑],好饿啊，但还是要减肥啊[微笑] ​
20161201,减肥,"[惊讶],[大哭],[害怕],[紧张],[鼻涕]",冬天减肥简直是要我老命[惊讶][害怕][鼻涕][紧张][大哭] 南宁·江南区 ​
20161201,减肥,[拜拜],我要减肥了，胖的看不懂自己了[拜拜][拜拜][拜拜] ​
20161201,减肥,[微笑],果然，要遇到一个自己喜欢，对方也喜欢你的人，比减肥还难[微笑] ​
20161201,减肥,"[摊手],[拜拜]",心塞！！！下午已经忍住不吃饭，光吃了半截红薯了，然而运动完坐沙发上看电视顺手就抓起桌子上的一堆葡萄吃了，临睡前又顺手抓了一个梨吃了[拜拜][拜拜][拜拜]我的减肥注定是失败的[摊手][摊手][摊手] ​
20161201,减肥,[失望],等你走了以后我就开始减肥。因为那时候我就没人要了。就没人嘴硬心软的不嫌我胖了。也没人会带我去吃好吃的了。也没人会陪我聊天了。我也再也见不到你了。[失望][失望][失望]最后的日子里。 ​
20161201,减肥,[微笑],今晚跟我妈打电话聊了半个小时，她说看我票圈的照片，觉得我长胖了[笑cry]，顿时无言以对。空有减肥的心，却长了一张无法管的嘴，准备又吃泡面[微笑] ​
20161201,减肥,[兔子],#燃脂素##减肥# [兔子]〰           ᵍᵒᵒᵈ ᵑᑊ̇ᵍᑋᐪ ​
20161201,减肥,[闭眼],最近不停的吃吃吃…结果就是越来越圆了…好想回到90斤左右的时候…可是没有毅力节食减肥…又懒得运动…这样的自己…叫自己都不喜欢了[闭眼]… ​
20161201,减肥,[惊恐],累计吃了两包（共70g）综合坚果+一把核桃+两颗大梨子+六颗大红枣+一块杂粮面包+三片阿胶糕+一份鸭肉蔬菜沙拉+一个荷包蛋+2个菜肉馄饨+一碗皮蛋瘦肉粥的一天。感觉肚子越来越大了[惊恐][惊恐]#减肥# ​
20161201,减肥,"[眼泪],[鼓掌]",我们的专场，完美[鼓掌][鼓掌][鼓掌]（美中不足，太胖了，我要减肥[眼泪][眼泪][眼泪]） 保定·保定学院(七一东路) ​
20161201,减肥,[加油],励志明天起开始减肥，我再也受不了我庞大的身躯啦[笑cry][笑cry][笑cry][加油][加油][加油] ​
20161201,减肥,[摊手],减肥是女孩子永恒的话题[摊手] ​
20161201,减肥,[爱你],给自己一个月的时间 开始一个健康的减肥方法 每天练习把字写好 每天多做几道题 上课少睡几分钟 课间少休息几分钟 合理利用时间 给一年一个好的结尾[爱你][爱你][爱你] ​
20161201,减肥,[闭眼],我在#鹿晗愿望季#许下一个心愿，【第二个...减肥成功[闭眼]】，希望可以实现，你也来许下你的心愿吧！鹿晗愿望季 ​
20161201,减肥,"[悲伤],[污],[笑哈哈]",我已放弃减肥的念头。只求好好锻炼身体[污][污][污][污]一直在欺骗自己[悲伤][悲伤][悲伤]@fufangxin520 我的付老师[good][笑哈哈] ​
20161201,减肥,[喵喵],作为乳糖不耐受患者，好像发现了减肥的新天地，那就是无论多饿只需要一杯奶就饱饱的了[喵喵]而且为什么这么多年了我才发现不是所有人喝完了牛奶都会觉得很撑… ​
20161201,减肥,[睡觉],懒-花儿乐队 懒得让谁安慰 懒得自作自受拼命减肥[睡觉]#大张伟##大张伟12.25武汉演唱会# ​
20161201,减肥,[黑线],#文老师减肥记#今天真的吃多了，女人管不住嘴，永远减不了肥～[黑线][黑线][黑线] ​
20161201,减肥,"[汗],[开心]",#致十二月# 新的一个月 新的开始 也是宝宝减肥的第一天 [开心] 不希望她减肥 但是说不过她  她去洗脸了 我俩今天去了平阳商场买了点灯具和卫具 走着去走着回来的  冷了点 但是当锻炼了 更好 今天又吃了她做的洋葱炒蛋 很好吃 还有土豆地瓜🍠 更好吃  明天又3点起床 起不来 [汗]。好了 晚安吧 @田肉丸儿 ​
20161201,减肥,[泪],公告出啦，十二月要在学习中度过啦，暂停健身一个月[泪][泪][泪]待我凯旋归来，继续我的减肥大战！我要过一个双赢的新年！加油！ ​
20161201,减肥,[二哈],从今天开始要减肥了  为了回去不被指着说  看！内个从法国回来的胖子！[二哈] 法国·里尔 ​
20161201,减肥,[嘻嘻],#致十二月#每天都要坚持练瑜伽，不是为了减肥，纯粹为了强身健体，保养好自己[嘻嘻]加油 ​
20161201,减肥,"[白眼],[二哈]",连着四天吃的[二哈]                                                       然后今天去给我的脸加点水[哆啦A梦汗]                                        从明天起不熬夜不熬夜 少吃辣[白眼]                                                 还有 开始 减肥[doge]                            ​ 全文
20161201,减肥,[微笑],#减肥#Day8  宁愿腿上是肌肉也不愿腿上都是肥肉[微笑] ​
20161201,减肥,[泪],一天天…一顿不少还不动…一沓肉两杯酒…减肥这事在我小魏哥（大彪哥）手下就是泡沫…赐给我一段抑郁的时间[泪] ​
20161201,减肥,"[左上],[右上],[广告]",减肥[广告]。相信自己的毅力，相信奶昔。你一定会拥有你心目中的完美身材。加油[左上](^ω^)[右上] ​
20161201,减肥,[晕],要减肥啦……脸上的肉肉越来越多了[晕] ​
20161201,减肥,"[眼泪],[蛋糕],[花痴],[幽灵]",运静宝宝的生日[蛋糕]超级超级超级喜欢的庆祝方式[花痴]期末前的最后一次狂欢[幽灵]没节制的暴饮暴食🙊以及新一轮的减肥的开始[眼泪] 本溪·溪湖区 ​
20161201,减肥,[可怜],看看自己的钱包决定要减肥 要好好的工作[可怜][可怜][可怜] ​
20161201,减肥,"[鲜花],[二哈]",#致十二月#[鲜花]#我的心情日记#2016年最后一个月的第一天打卡 哈哈哈哈哈哈哈哈哈我要减肥还要当学霸[二哈][二哈][二哈] ​
20161201,减肥,"[脸红],[蓝心]",听你说运动可以减肥，我就听你的话，多运动[蓝心] 让自己有一个健康的身体，那样我就可以保护你了[脸红] 缅甸 ​
20161201,减肥,[二哈],脑子里只有两件事   吃    减肥[二哈] 烟台·莱山区 ​
20161201,减肥,[眼泪],@减肥明星赵奕然 H+普通班+D2，今天状态好一点，节奏很重要，特别是塑形阶段，节奏乱了就会手忙脚乱的[眼泪] ​
20161201,减肥,[眼泪],吃完了明天得开始减肥了[眼泪][眼泪] 福州·平潭县 ​
20161201,减肥,"[偷笑],[坏笑],[害羞],[怒],[色],[疑问],[悲伤],[挤眼]",【开心一乐】..  [笑cry][笑cry]我想减肥，去找医生咨询[害羞]，医生告诉我，早上一个馒头[挤眼]，中午一个煮鸡蛋[色]，，晚上半个馒头[坏笑]！！我问大夫。饭前吃还是饭后吃[疑问]，谁知这医生脾气可不好了[怒]，让我滚犊子！[悲伤]到现在我也不知道因为啥[悲伤]！！[悲伤]因为啥呢！！！..[偷笑] ​ 全文
20161201,减肥,[鬼脸二],一个天天喊着减肥却爱吃的我…🤗😋[鬼脸二] ​
20161201,减肥,"[哼],[拜拜]",再见 朋友[拜拜]再不减肥就真的被当作孕妇了好么[哼] ​
20161201,减肥,"[眼泪],[橄榄球]",终于有时间滚一下了[橄榄球][橄榄球]腓肠和比目鱼简直要炸掉了 好痛💥双姐姐给的零食～又决心明天开始减肥 谁信[眼泪]今天可以早点睡咯 咦哈～ ​
20161201,减肥,[月亮],减肥复胖再减 复胖再减哪有什么一劳永逸的事儿哟晚安[月亮] ​
20161201,减肥,[白眼],饿到睡不着要减肥[白眼] ​
20161201,减肥,[可爱],Pewpew 趴在我肚子上[可爱]最近在减肥。不是我，是它们。我的体重现在已经不敢称了，轻得吓人。 ​
20161201,减肥,"[汗],[悲伤],[害羞]",真是无奈[汗]又胖起来了[悲伤]咋办？十月第一天，决定，明年开春再减肥！[害羞] ​
20161201,减肥,[爱你],让我们一起减肥！让恩格尔系数降低！[doge][doge][doge] 谢谢Co宝宝送给我的蜂蜜南瓜蛋糕～I love it verrrrrry much![爱你] ​
20161201,减肥,[下],一言不合就想减肥，什么都不吃了。以后都不吃了[下][下]#维多利亚的秘密秀##维多利亚秘密# 郑州·二七区 ​
20161201,减肥,"[加油],[可爱]",#举重妖精金福珠# 工作一天后的放松剧[可爱]还可以敦促自己戒掉夜宵减肥[加油] ​
20161201,减肥,[二哈],刚刚吃完一碗面 减肥什么的还是算了吧 太难了[二哈] ​
20161201,减肥,[二哈],我家美人太优秀了！这样我减肥太难了[二哈][二哈][二哈]#福州美食推荐# ​
20161201,减肥,[泪],我想吃火锅烤肉烧烤麻辣香锅麻辣烫麻辣拌三宝晚茶各种零食干果，然而我天天都在喝粥[泪]虽然也挺好喝的。不过开心的就是，真的瘦了！这样坚持两到三周，应该能瘦好几斤了！等可以正常饮食的时候再开始运动减肥！保持住！加油！为了明年的海岛！一定要瘦下去！！！ ​
20161201,减肥,[二哈],我要变变变，明天又要开始减肥的日子了[二哈][二哈] ​
20161201,减肥,[拜拜],貌似我的肚子知道我想要减肥的决心了……今天让我疼了好几次了……[拜拜][拜拜][拜拜] ​
20161201,减肥,"[污],[阴险]",共勉：钱没了还可以吃土减肥，好看的东西没了就没了[阴险][污][污] ​
20161201,减肥,"[怒],[阴险]",有大哥哥我真的省心不少[阴险][阴险]@P@P泡完脚再敷上自制姜包，希望明天感冒能好了。最近都在帮我减肥嘛[怒]折磨S我了~ ​
20161201,减肥,[摊手],学弟说减肥前不出镜所以大概再也没法在照片里看到他了[摊手][摊手]继续适应下新刘海OTL后悔到大哭 西安·西工大（商圈） ​
20161201,减肥,[二哈],@减肥明星赵奕然 X+提高班+D1+定制三 全部。跳完定制三腿已经都不是自己的了。这个天气都能流汗这么多[二哈][二哈][二哈] ​
20161201,减肥,[摊手],为了减肥我可是费尽心思 每天晚上只喝一碗粥 真的好饿啊啊啊好想吃零食但是我会忍住[摊手] ​
20161201,减肥,[哈哈],C+普通班+Day10（终于是标准的打卡格式啦，毕竟找到队伍了[哈哈]）昨天因为有事没跳，今天继续，很充实，室友说觉得我外形有变化，虽然我自己没有感觉，而且数据也没变化，但是我会继续努力的！@减肥明星赵奕然 ​
20161201,减肥,[二哈],减肥第五天：今天和小伙伴怼了一只北京片皮鸭，减肥大业尚未成功就要失败了的感觉[二哈] ​
20161201,减肥,[污],昨天某人拉着我为了减肥怒走！今天就和我一起大吃！女人最善变及难养也[污][污] ​
20161201,减肥,"[摊手],[二哈],[拜拜]",开启自虐模式的减肥模式[拜拜][拜拜]我就不信我不下百了[摊手][摊手]168的妹子也可以下百的好吗？！[摊手]我的马甲线你快回来啊。。。急啊！！很急啊[拜拜][拜拜]一个月得成功啊[二哈][二哈]有毒。。。 ​
20161201,减肥,"[爱你],[心],[二哈]",#王俊凯#[心]#王俊凯触电张艺谋长城# 小俊，晚安啦[心]wanan[爱你]，今天也是冷成狗了，都不想出去，晚饭也没吃，看来我减肥时期到了[二哈] ​
20161201,减肥,[左哼哼],励志减肥，发誓减肥，来年春天，看我的瘦瘦瘦！！！[左哼哼][左哼哼][左哼哼] 北京·西北旺 ​
20161201,减肥,"[爱你],[嘻嘻]",减肥最后一天@伊丽同学 [爱你][嘻嘻][嘻嘻][嘻嘻] ​
20161201,减肥,[拜拜],别再减肥了 你丑不仅是因为胖 [拜拜] ​
20161201,减肥,[泪],每天发誓减肥，每天持续打脸[泪]       吃吃吃，冬天的肉肉，你们慢点长~ ​
20161201,减肥,"[眼泪],[微笑],[心碎],[瞌睡]",这个星期本来打算认真减肥的[微笑]人生为何如此艰难[瞌睡][心碎][眼泪]#致十二月#下周我一定好好减肥，嗯(高冷) ​
20161201,减肥,[睡觉],睡眠[睡觉]是一件多么强效的减肥运动（身体在完全放松的状态承受着被子带来的高温）绝佳 北京·怡馨家园 ​
20161201,减肥,[舔屏],减肥         先吃[舔屏][舔屏][舔屏] 重庆·四公里 ​
20161201,减肥,[强],我要减肥  支持的点赞[强] ​
20161201,减肥,[强],我要减肥  支持的点赞[强] ​
20161201,减肥,[污],这个冬天和火锅结缘 天天各种吃 长成猪再减肥[污][污][污] 武汉·海底捞火锅(凯德广场店) ​
20161201,减肥,[污],减肥无望，睡眠不足，开题不佳[污][污][污]熬不下去了 天津·南开区 ​
20161201,减肥,[摊手],想知道我的视频为什么变成这样🙃背着我自己减肥了？[摊手] ​
20161201,减肥,[爱你],我要开始减肥了！下一场演唱会，我会美美的出现在你面前。尽管你看不到我……[爱你][爱你] ​
20161201,减肥,[偷笑],我们的口号是：吃饱了才有力气减肥。[偷笑] ​
20161201,减肥,[摊手],有时候自己认为的烦恼，在别人眼里也就是个没什么大不了的事情[摊手][摊手][摊手]比如减肥啊，[笑cry][笑cry][笑cry] 西安·解放路 ​
20161201,减肥,[拳头],谢谢@NA娜菌 总在我压力爆棚的时候适时出现，好像super woman，我们吃完这顿好好减肥[拳头] ​
20161201,减肥,[泪],每一次都想停下来，咬咬牙一节课又坚持下来了[泪]@减肥明星赵奕然 冬天好难有汗如雨下的感觉 ​
20161201,减肥,[眼泪],@减肥明星赵奕然 H+普通班+D2，今天状态好一点，节奏很重要，特别是塑形阶段，节奏乱了就会手忙脚乱的[眼泪] ​
20161201,减肥,"[泪],[鼓掌]",好饿啊[泪]，大半夜的，感觉胃饿的快把胃吃掉了……每到月初就像打了鸡血一样努力减肥的妞儿也挺不容易～希望你这次能坚持到底[鼓掌] ​
20161201,减肥,[星星],南京·减肥药[星星][星星][星星][星星][星星]让我们无暇空虚;坎坷是一种经历，让我们真切的理解人生。 ​
20161201,减肥,[鼓掌],HLX+D14（实跳43）+提高班，@减肥明星赵奕然 又是两星期，本来应该中间有一次打卡的，不过中间停了一段时间，即使这样的我也还是有成果的[鼓掌][鼓掌][鼓掌] ​
20161201,减肥,[二哈],最后一个月了，不减肥了[二哈][二哈] ​
20161201,减肥,[挤眼],十二月 减肥今天做起  [挤眼] 长沙·梅溪湖（商圈） ​
20161201,减肥,"[摊手],[可怜],[二哈]",心里越想减肥吃的越多[摊手][摊手][摊手]再这样下去真的要膀大腰圆了[二哈][二哈][二哈]#鹿晗愿望季#今天许下一个小愿望，希望能管住自己的嘴[可怜][可怜][可怜] ​
20161201,减肥,[微笑],说着要减肥，不知不觉吃完了一斤鸡爪[微笑] ​
